1, 2, 9.0, 20.0, 30.0, 0, Water, 0, 0
2, 3, 80.0, 20.0, 1.0, 0, Flame, 0, 0

Special ability performed by water warrior!
1, 3, 28.5, 20.0, 30.0, 0, Water, 0, 0
2, 4, 79.5, 20.0, 1.0, 0, Flame, 0, 0

1, 4, 28.0, 20.0, 30.0, 0, Water, 0, 0
2, 5, 79.0, 20.0, 1.0, 0, Flame, 0, 0

1, 5, 27.5, 20.0, 30.0, 0, Water, 0, 0
2, 6, 78.5, 20.0, 1.0, 0, Flame, 0, 0

1, 6, 27.0, 20.0, 30.0, 0, Water, 0, 0
2, 7, 78.0, 20.0, 1.0, 0, Flame, 0, 0

1, 7, 26.5, 20.0, 30.0, 0, Water, 0, 0
2, 8, 77.5, 20.0, 1.0, 0, Flame, 0, 0

1, 8, 26.0, 20.0, 30.0, 0, Water, 0, 0
2, 9, 77.0, 20.0, 1.0, 0, Flame, 0, 0

1, 9, 25.5, 20.0, 30.0, 0, Water, 0, 0
2, 10, 76.5, 20.0, 1.0, 0, Flame, 0, 0

1, 10, 25.0, 20.0, 30.0, 0, Water, 0, 0
2, 11, 76.0, 20.0, 1.0, 0, Flame, 0, 0

1, 11, 24.5, 20.0, 30.0, 0, Water, 0, 0
2, 12, 75.5, 20.0, 1.0, 0, Flame, 0, 0

1, 12, 24.0, 20.0, 30.0, 0, Water, 0, 0
2, 13, 75.0, 20.0, 1.0, 0, Flame, 0, 0

1, 13, 23.5, 20.0, 30.0, 0, Water, 0, 0
2, 14, 74.5, 20.0, 1.0, 0, Flame, 0, 0

1, 14, 23.0, 20.0, 30.0, 0, Water, 0, 0
2, 15, 74.0, 20.0, 1.0, 0, Flame, 0, 0

1, 15, 22.5, 20.0, 30.0, 0, Water, 0, 0
2, 16, 73.5, 20.0, 1.0, 0, Flame, 0, 0

1, 16, 22.0, 20.0, 30.0, 0, Water, 0, 0
2, 17, 73.0, 20.0, 1.0, 0, Flame, 0, 0

1, 17, 21.5, 20.0, 30.0, 0, Water, 0, 0
2, 18, 72.5, 20.0, 1.0, 0, Flame, 0, 0

1, 18, 21.0, 20.0, 30.0, 0, Water, 0, 0
2, 19, 72.0, 20.0, 1.0, 0, Flame, 0, 0

